filial_id;pedido_id;data_emissao;grupo_comercial_id;vendedores_alocados;quantidade_vendedores;tem_vendedor_ausente;times_cadastro_atual;segmento_campanha;quantidade_segmentos;tem_segmento_desconhecido;valor_pedido_soma_alocacoes;nome_grupo_comercial;grupo_identificado;primeira_compra_observada;historico_tem_data_ausente;ultima_compra_em_data_anterior;pedidos_grupo_na_data;dias_sem_compra;meses_inatividade_exigidos;data_limite_reativacao_proposta;resultado_previa;observacao_ordem;situacao_atribuicao
01101;058299;2026-09-01;C49;000190;1;False;Time Norte;Construção;1;False;24304.970000000000000000000000;DIRECIONAL;True;2022-01-04;False;2026-08-31;2;1;12;2025-09-01;ativo;ordem_dos_pedidos_no_dia_nao_disponivel;um_vendedor_alocado
01101;058300;2026-09-01;C21;000113, 000190;2;False;Time Norte;Construção;1;False;46271.350000000000000000000000;CAPITAL (MORAR MAIS);True;2022-04-07;False;2026-08-27;2;5;12;2025-09-01;ativo;ordem_dos_pedidos_no_dia_nao_disponivel;titularidade_pendente
01101;058302;2026-09-01;C49;000190;1;False;Time Norte;Construção;1;False;18280.400000000000000000000000;DIRECIONAL;True;2022-01-04;False;2026-08-31;2;1;12;2025-09-01;ativo;ordem_dos_pedidos_no_dia_nao_disponivel;um_vendedor_alocado
01101;058303;2026-09-01;C21;000190;1;False;Time Norte;Construção;1;False;59430.43000000000000000000000000000000000000000000;CAPITAL (MORAR MAIS);True;2022-04-07;False;2026-08-27;2;5;12;2025-09-01;ativo;ordem_dos_pedidos_no_dia_nao_disponivel;um_vendedor_alocado
01101;058304;2026-09-01;CNH;000170;1;False;Time Norte;Construção;1;False;2464.080000000000000000000000000000000000;CONSTRUTORA TROPICAL;True;2022-07-07;False;2026-02-24;1;189;12;2025-09-01;ativo;;um_vendedor_alocado
01101;058305;2026-09-01;C02;000190;1;False;Time Norte;Construção;1;False;1349.0000000000000000;MRV;True;2022-01-03;False;2026-08-31;4;1;12;2025-09-01;ativo;ordem_dos_pedidos_no_dia_nao_disponivel;um_vendedor_alocado
01101;058316;2026-09-01;C8U;000188;1;False;Time Norte;Construção;1;False;77135.700000000000000100000000000000000000;J FILHOS;True;2024-06-21;False;2026-08-26;1;6;12;2025-09-01;ativo;;um_vendedor_alocado
01101;058317;2026-09-01;CRB;000170;1;False;Time Norte;Construção;1;False;2409.200000000000000000000000000000000000;JMS CONSTRUCOES;True;2022-01-04;False;2026-06-18;2;75;12;2025-09-01;ativo;ordem_dos_pedidos_no_dia_nao_disponivel;um_vendedor_alocado
01101;058336;2026-09-01;;000173;1;False;Canais;Canais;1;False;140.0000000000000000000000000000000000000000;;False;;;;;;6;2026-03-01;pendente_grupo_comercial;;um_vendedor_alocado
01101;058337;2026-09-01;;000173;1;False;Canais;Canais;1;False;140.0000000000000000000000000000000000000000;;False;;;;;;6;2026-03-01;pendente_grupo_comercial;;um_vendedor_alocado
01101;058338;2026-09-01;;000173;1;False;Canais;Canais;1;False;38.0000000000000000000000000000000000000000;;False;;;;;;6;2026-03-01;pendente_grupo_comercial;;um_vendedor_alocado
01101;058339;2026-09-01;;000173;1;False;Canais;Canais;1;False;140.0000000000000000000000000000000000000000;;False;;;;;;6;2026-03-01;pendente_grupo_comercial;;um_vendedor_alocado
01101;058340;2026-09-01;;000173;1;False;Canais;Canais;1;False;140.0000000000000000000000000000000000000000;;False;;;;;;6;2026-03-01;pendente_grupo_comercial;;um_vendedor_alocado
01101;058341;2026-09-01;C02;000176;1;False;Time Sul;Construção;1;False;14361.90000000000000000000000000000000000000000000;MRV;True;2022-01-03;False;2026-08-31;4;1;12;2025-09-01;ativo;ordem_dos_pedidos_no_dia_nao_disponivel;um_vendedor_alocado
01101;058342;2026-09-01;;000173;1;False;Canais;Canais;1;False;140.0000000000000000000000000000000000000000;;False;;;;;;6;2026-03-01;pendente_grupo_comercial;;um_vendedor_alocado
01101;058343;2026-09-01;;000173;1;False;Canais;Canais;1;False;38.0000000000000000000000000000000000000000;;False;;;;;;6;2026-03-01;pendente_grupo_comercial;;um_vendedor_alocado
01101;058344;2026-09-01;;000173;1;False;Canais;Canais;1;False;38.0000000000000000000000000000000000000000;;False;;;;;;6;2026-03-01;pendente_grupo_comercial;;um_vendedor_alocado
01101;058345;2026-09-01;;000173;1;False;Canais;Canais;1;False;38.6100000000000000000000000000000000000000;;False;;;;;;6;2026-03-01;pendente_grupo_comercial;;um_vendedor_alocado
01101;058346;2026-09-01;;000173;1;False;Canais;Canais;1;False;38.0000000000000000000000000000000000000000;;False;;;;;;6;2026-03-01;pendente_grupo_comercial;;um_vendedor_alocado
01101;058347;2026-09-01;;000173;1;False;Canais;Canais;1;False;140.0000000000000000000000000000000000000000;;False;;;;;;6;2026-03-01;pendente_grupo_comercial;;um_vendedor_alocado
01101;058348;2026-09-01;;000173;1;False;Canais;Canais;1;False;38.0000000000000000000000000000000000000000;;False;;;;;;6;2026-03-01;pendente_grupo_comercial;;um_vendedor_alocado
01101;058349;2026-09-01;F213;000172;1;False;Time Sul;Construção;1;False;11941.474630455252668600000000000000000000;FIPAL CONSTRUTORA;True;2026-09-01;False;;1;;12;2025-09-01;novo_no_historico;;um_vendedor_alocado
01101;058350;2026-09-01;F101;000176;1;False;Time Sul;Construção;1;False;72067.760000000000000100000000000000000000;JERONIMO DA VEIGA;True;2026-08-13;False;2026-08-13;1;19;12;2025-09-01;ativo;;um_vendedor_alocado
01101;058351;2026-09-01;CRB;000170;1;False;Time Norte;Construção;1;False;47258.551977634310147774500000000000000000;JMS CONSTRUCOES;True;2022-01-04;False;2026-06-18;2;75;12;2025-09-01;ativo;ordem_dos_pedidos_no_dia_nao_disponivel;um_vendedor_alocado
01101;058352;2026-09-01;CIH;000184;1;False;Time Norte;Construção;1;False;604.200000000000000000000000000000000000;ESTACAO 1;True;2022-01-10;False;2026-08-31;1;1;12;2025-09-01;ativo;;um_vendedor_alocado
01101;058353;2026-09-01;C2K;000188;1;False;Time Norte;Construção;1;False;5048.510000000000000000000000000000000000;SUACASA. COM;True;2024-02-22;False;2026-08-14;1;18;12;2025-09-01;ativo;;um_vendedor_alocado
01101;058354;2026-09-01;E08;000188;1;False;Time Norte;Construção;1;False;6359.673425000000000000000000000000000000;CONSTRUTORA MVA;True;2025-04-04;False;2026-07-28;1;35;12;2025-09-01;ativo;;um_vendedor_alocado
01101;058355;2026-09-01;C02;000164;1;False;Time Sul;Construção;1;False;607.120000000000000000000000000000000000;MRV;True;2022-01-03;False;2026-08-31;4;1;12;2025-09-01;ativo;ordem_dos_pedidos_no_dia_nao_disponivel;um_vendedor_alocado
01101;058356;2026-09-01;C02;000164;1;False;Time Sul;Construção;1;False;510.800000000000000000000000000000000000;MRV;True;2022-01-03;False;2026-08-31;4;1;12;2025-09-01;ativo;ordem_dos_pedidos_no_dia_nao_disponivel;um_vendedor_alocado
