produto_id,descricao_produto,grupo_mix
002920,HYDROFIX AF,Hydrofix
002921,HYDROFIX AQ,Hydrofix
000010,CAIXA DE PASSAGEM POLAR SPLIT CPP 009,CPP 009
002736,CAIXA DE PASSAGEM POLAR SPLIT CPP 009 RV (M10),CPP 009
002968,KIT GRELHA E PORTA GRELHA DN100,Grelha + Porta Grelha
002969,KIT GRELHA E PORTA GRELHA DN150,Grelha + Porta Grelha
001626,SUPORTE BANCADA 500 - PAR,Suporte de Bancada
001627,SUPORTE BANCADA 400 - PAR,Suporte de Bancada
001628,SUPORTE BANCADA 300 - PAR,Suporte de Bancada
002054,SUPORTE BANCADA 500 (SEM KIT FIXACAO) - PAR,Suporte de Bancada
002055,SUPORTE BANCADA 400 (SEM KIT FIXACAO) - PAR,Suporte de Bancada
002056,SUPORTE BANCADA 300 (SEM KIT FIXACAO) - PAR,Suporte de Bancada
002064,SUPORTE BANCADA 500 (ALVENARIA ESTRUTURAL) - PAR,Suporte de Bancada
002065,SUPORTE BANCADA 400 (ALVENARIA ESTRUTURAL) - PAR,Suporte de Bancada
002066,SUPORTE BANCADA 300 (ALVENARIA ESTRUTURAL) - PAR,Suporte de Bancada
002893,SUPORTE BANCADA 500 (SEM KIT FIXACAO) - PAR,Suporte de Bancada
002894,SUPORTE BANCADA 400 (SEM KIT FIXACAO) - PAR,Suporte de Bancada
002895,SUPORTE BANCADA 300 (SEM KIT FIXACAO) - PAR,Suporte de Bancada
002917,SUPORTE BANCADA 500 - PAR (PC / AE),Suporte de Bancada
002918,SUPORTE BANCADA 400 - PAR (PC / AE),Suporte de Bancada
002919,SUPORTE BANCADA 300 - PAR (PC / AE ),Suporte de Bancada
003026,SUPORTE BANCADA 300 - PAR (PC / AE) - PRETO,Suporte de Bancada
003027,SUPORTE BANCADA 400 - PAR (PC / AE) - PRETO,Suporte de Bancada
